start,end,scale,Thrum #,Bell #,warble (low/high)
0.978,1.124,0.1,1,,
1.531,1.65,0.1,2,,
2.091,2.303,0.2,1,,
2.651,2.92,0.2,2,,
3.195,3.421,0.3,1,,
3.748,4,0.3,2,,
4.308,4.6,0.4,1,,
4.863,5.098,0.4,2,,
5.426,5.665,0.5,1,,
5.993,6.18,0.5,2,,
6.539,6.833,0.6,1,,
7.094,7.329,0.6,2,,
7.647,7.8,0.7,1,2,
7.92,8.07,0.9,,1,
8.205,8.456,0.7,2,2,
8.758,,0.1,1,2,
9.32,,0.9,2,3,
9.871,,0.9,1,2,
10.433,,0.9,2,3,
10.702,,0.1,,3,
10.991,,0.9,1,3,
11.551,,0.9,2,2,
11.815,,0.1,,2,
12.097,,0.9,1,2,
12.657,,0.9,2,1,
12.928,,0.1,,1,
13.21,,0.9,1,1,
13.773,,0.9,1,3,
14.036,,0.9,,2,
14.328,,0.9,1,3,
14.596,,0.9,1,2,
14.884,,0.5,2,4,
15.448,,0.9,,,1
15.598,,0.8,,,2
15.757,,0.7,,,1
16.044,,0.6,,,2
16.184,,0.5,,,1
16.554,,0.9,,2,
16.82,,0.9,,1,
17.103,,0.9,2,2,
17.663,,0.1,,2,
18.22,,0.9,1,3,
18.774,,0.9,,2,
19.336,,0.9,2,3,
19.62,,0.1,,3,
19.89,,0.9,,3,
20.454,,0.9,,2,
20.728,,0.1,,2,
21,,0.9,,2,
21.556,,0.9,,1,
21.835,,0.1,,1,
22.118,,0.9,,1,
22.68,,0.9,1,3,
22.942,,0.9,,2,
23.235,,0.9,2,3,
23.5,,0.9,,2,
23.789,,0.9,1,3,
24.384,,0.9,,,1
24.522,,0.8,,,2
24.692,,0.7,,,1
24.827,,0.6,,,2
24.949,,0.5,,,1
25.462,,0.9,2,2,
25.731,,0.9,,1,
25.857,,0.9,,2,
26.567,,0.1,1,2,
27.129,,0.9,2,3,
27.684,,0.9,1,2,
28.239,,0.9,2,3,
28.509,,0.1,,3,
28.8,,0.9,1,3,
29.357,,0.9,2,2,
29.624,,0.1,,2,
29.913,,0.9,1,2,
30.468,,0.9,2,1,
30.738,,0.1,,1,
31.03,,0.9,,1,
31.584,,0.9,1,3,
31.85,,0.9,,2,
32.139,,0.9,2,3,
32.405,,0.9,,2,
32.697,,0.9,1,3,
33.271,,0.9,,,3
33.439,,0.8,,,4
33.573,,0.7,,,3
33.695,,0.6,,,4
33.86,,0.5,,,3
34.347,,0.8,2,4,
34.587,,0.8,,2,
34.9,,0.8,1,4,
35.441,,0.8,2,3,
35.6,,0.4,,,3
35.75,,0.4,,,4
35.9,,0.4,,,3
36.15,,0.4,,,4
36.3,,0.4,,,3
36.486,,0.8,1,2,
36.75,,0.8,2,3,
37.011,,0.8,1,2,
37.55,,0.8,2,4,
37.7,,0.4,,,3
37.85,,0.4,,,4
38,,0.4,,,3
38.15,,0.4,,,4
38.3,,0.4,,,3
38.582,,0.8,1,2,
38.844,,0.8,2,2,
39.1,,0.8,1,1,
39.631,,0.8,2,2,
40.161,,0.8,1,1,
40.659,,1,2,4,
41.187,,1,1,3,
42,,0,,,
